Baked Products,Weight,Measure,Protein,Sugars,Fat,Carbohydrate,Calcium,Energy,Water
"English muffins, whole grain white",57.0,1.0 muffin 1 serving,39.48 g,140.0 mg,7.02 g,-- g,1.75 g,50.17 g,245.0 kcal
"English muffins, whole-wheat",28.35,1.0 oz,45.7 g,265.0 mg,8.8 g,8.09 g,2.1 g,40.4 g,203.0 kcal
"English muffins, whole-wheat, toasted",28.35,1.0 oz,41.0 g,288.0 mg,9.6 g,8.79 g,2.3 g,44.1 g,221.0 kcal
"FAMOUS AMOS, Chocolate Chip Cookies",29.0,4.0 cookies,2.5 g,-- mg,4.5 g,32.4 g,24.1 g,67.7 g,503.0 kcal
"FAMOUS AMOS, Chocolate Chip Pecan Cookies",29.0,4.0 cookies,2.5 g,-- mg,5.8 g,31.8 g,27.0 g,63.8 g,519.0 kcal
"FAMOUS AMOS, Chocolate Sandwich Creme Cookies",34.0,3.0 cookies,2.0 g,-- mg,4.3 g,40.4 g,19.1 g,72.3 g,474.0 kcal
"FAMOUS AMOS, Vanilla Sandwich Creme Cookies",34.0,3.0 cookies,2.0 g,-- mg,4.9 g,37.2 g,19.3 g,73.8 g,485.0 kcal
"Focaccia, Italian flatbread, plain",57.0,1.0 piece,45.91 g,35.0 mg,8.77 g,1.75 g,7.89 g,35.82 g,249.0 kcal
"French toast, frozen, ready-to-heat",28.35,1.0 oz,52.6 g,107.0 mg,7.4 g,-- g,6.1 g,32.1 g,213.0 kcal
"French toast, prepared from recipe, made with low fat (2%) milk",28.35,1.0 oz,54.7 g,100.0 mg,7.7 g,-- g,10.8 g,25.0 g,229.0 kcal
"Garlic bread, frozen",43.0,1.0 slice presliced,31.78 g,27.0 mg,8.36 g,3.69 g,16.61 g,41.72 g,350.0 kcal
"GENERAL MILLS, BETTY CROCKER SUPERMOIST Yellow Cake Mix, dry",43.0,1.0 serving,4.2 g,161.0 mg,3.8 g,43.9 g,8.1 g,81.3 g,413.0 kcal
"GEORGE WESTON BAKERIES, Brownberry Sage and Onion Stuffing Mix, dry",67.0,1.0 serving,4.0 g,-- mg,13.3 g,-- g,5.1 g,72.7 g,390.0 kcal
"GEORGE WESTON BAKERIES, Thomas English Muffins",57.0,1.0 serving,42.6 g,180.0 mg,8.0 g,-- g,1.8 g,46.0 g,232.0 kcal
"GIRL SCOUTS, Caramel Dulce De Leche Cookies",30.0,4.0 cookies,2.5 g,-- mg,5.1 g,29.6 g,27.1 g,64.8 g,520.0 kcal
"GIRL SCOUTS, Chalet Cookies",36.0,3.0 cookies,2.8 g,-- mg,4.2 g,35.4 g,19.1 g,72.3 g,478.0 kcal
"GIRL SCOUTS, Do-si-dos Cookies",24.0,2.0 cookies,3.0 g,-- mg,8.1 g,31.1 g,21.4 g,66.0 g,478.0 kcal
"GIRL SCOUTS, Samoas Cookies",29.0,2.0 cookies,5.7 g,-- mg,3.5 g,35.8 g,25.8 g,64.1 g,489.0 kcal
"GIRL SCOUTS, Tagalongs Cookies",25.0,2.0 cookies,1.8 g,-- mg,8.1 g,30.9 g,35.3 g,52.2 g,558.0 kcal
"GIRL SCOUTS, Thank U Berry Munch Cookies",25.0,2.0 cookies,3.5 g,-- mg,4.6 g,28.9 g,21.6 g,70.0 g,491.0 kcal
"GIRL SCOUTS, Thin Mints Cookies",32.0,4.0 cookies,2.0 g,-- mg,4.5 g,32.0 g,24.2 g,67.3 g,502.0 kcal
"GIRL SCOUTS, Trefoils Cookies",33.0,5.0 cookies,2.5 g,-- mg,5.7 g,20.7 g,22.9 g,68.0 g,498.0 kcal
"GLUTINO, Gluten Free Cookies, Chocolate Vanilla Creme",44.0,3.0 cookies,2.84 g,19.0 mg,2.19 g,49.0 g,17.89 g,76.03 g,474.0 kcal
"GLUTINO, Gluten Free Cookies, Vanilla Creme",45.0,3.0 cookies,1.29 g,11.0 mg,2.19 g,49.43 g,18.79 g,77.34 g,487.0 kcal
"GLUTINO, Gluten Free Wafers, Lemon Flavored",30.0,3.0 cookies,1.12 g,9.0 mg,0.0 g,42.31 g,24.18 g,74.39 g,515.0 kcal
"GLUTINO, Gluten Free Wafers, Milk Chocolate",23.0,3.0 cookies,1.37 g,109.0 mg,4.06 g,40.99 g,30.42 g,62.82 g,541.0 kcal
"HEINZ, WEIGHT WATCHER, Chocolate Eclair, frozen",59.0,"1.0 eclair, frozen",47.3 g,48.0 mg,4.4 g,16.8 g,6.9 g,40.3 g,241.0 kcal
"Hush puppies, prepared from recipe",28.35,1.0 oz,29.0 g,278.0 mg,7.7 g,2.03 g,13.5 g,46.0 g,337.0 kcal
"Ice cream cones, cake or wafer-type",28.35,1.0 oz,5.3 g,25.0 mg,8.1 g,6.0 g,6.9 g,79.0 g,417.0 kcal
"Ice cream cones, sugar, rolled-type",28.35,1.0 oz,3.0 g,44.0 mg,7.9 g,25.66 g,3.8 g,84.1 g,402.0 kcal
"INTERSTATE BRANDS CORP, WONDER Hamburger Rolls",43.0,1.0 serving,34.2 g,87.0 mg,8.07 g,11.06 g,4.15 g,50.84 g,273.0 kcal
"JACKSON'S, Old Fashioned Lemon Jumble Cookies",32.0,3.0 cookies,4.0 g,-- mg,5.7 g,31.6 g,18.1 g,71.7 g,469.0 kcal
"JACKSON'S, Old Fashioned Vanilla Wafers",30.0,8.0 cookies,4.5 g,-- mg,5.0 g,33.9 g,15.4 g,74.0 g,453.0 kcal
"KASHI, Blueberry Waffle",72.0,2.0 pieces,49.5 g,51.0 mg,5.7 g,4.6 g,7.1 g,34.6 g,192.0 kcal
"KASHI, H2H Woven Wheat Cracker, Original",30.0,7.0 cracker,3.0 g,40.0 mg,10.6 g,0.4 g,11.6 g,73.4 g,396.0 kcal
"KASHI, H2H Woven Wheat Cracker, Roasted Garlic",30.0,7.0 cracker,3.0 g,53.0 mg,10.5 g,0.6 g,11.7 g,73.2 g,440.0 kcal
"KASHI, Original Waffle",72.0,2.0 pieces,47.7 g,53.0 mg,6.0 g,4.2 g,7.4 g,35.4 g,197.0 kcal
"KASHI, TLC, Country Cheddar Crackers",30.0,18.0 cracker,3.0 g,63.0 mg,9.8 g,3.7 g,15.5 g,68.0 g,445.0 kcal
"KASHI, TLC, Fire Roasted Vegetable Crackers",30.0,15.0 crackers,2.5 g,67.0 mg,12.0 g,7.3 g,12.2 g,64.6 g,389.0 kcal
"KASHI, TLC, Happy Trail Mix Cookies",30.0,1.0 cookie,9.04 g,-- mg,8.1 g,26.6 g,18.1 g,63.86 g,451.0 kcal
"KASHI, TLC, Honey Sesame Crackers",30.0,15.0 cracker,3.0 g,126.0 mg,8.7 g,16.1 g,10.4 g,72.2 g,398.0 kcal
"KASHI, TLC, Oatmeal Dark Chocolate Cookies",30.0,1.0 cookie,8.0 g,-- mg,7.2 g,27.2 g,16.3 g,67.0 g,426.0 kcal
"KASHI, TLC, Oatmeal Raisin Flax Cookies",30.0,1.0 cookie,8.5 g,-- mg,7.7 g,24.8 g,15.2 g,67.0 g,414.0 kcal
"KASHI, TLC, Original 7-Grain Crackers",30.0,15.0 crackers,2.5 g,136.0 mg,13.9 g,13.5 g,11.9 g,63.2 g,385.0 kcal
"KASHI, TLC, Pita Crisps, Sea Salt",31.0,11.0 crisps,2.5 g,-- mg,10.5 g,5.4 g,9.2 g,72.4 g,381.0 kcal
"KASHI, TLC, Pita Crisps, Zesty Salsa",31.0,11.0 crisps,2.5 g,-- mg,11.0 g,2.9 g,9.3 g,71.6 g,381.0 kcal
"KASHI, TLC, Toasted Asiago Crackers",31.0,15.0 crackers,2.3 g,160.0 mg,12.7 g,7.1 g,13.8 g,66.4 g,420.0 kcal
"KEEBLER, 100 Calorie RIGHT BITES, CHIPS DELUXE, Chocolate Chip Cookies",21.0,1.0 pouch,2.8 g,-- mg,4.7 g,40.3 g,13.3 g,77.7 g,452.0 kcal
"KEEBLER, 100 Calorie RIGHT BITES, FUDGE SHOPPE, Cookies 'N Creme",20.0,1.0 pouch,2.5 g,-- mg,4.0 g,39.7 g,19.1 g,72.2 g,471.0 kcal
"KEEBLER, 100 Calorie RIGHT BITES, FUDGE SHOPPE, Dark Chocolate Fudge Stripes Cookies",21.0,1.0 pouch,1.82 g,-- mg,4.5 g,39.3 g,20.1 g,71.2 g,479.0 kcal
"KEEBLER, 100 Calorie RIGHT BITES, FUDGE SHOPPE, Fudge Covered Pretzels",21.0,1.0 package,2.0 g,106.0 mg,7.5 g,32.9 g,17.0 g,71.3 g,455.0 kcal
"KEEBLER, 100 Calorie RIGHT BITES, FUDGE SHOPPE, Mini Brownies",21.0,1.0 package,9.0 g,-- mg,4.5 g,31.5 g,20.1 g,65.1 g,455.0 kcal
"KEEBLER, 100 Calorie RIGHT BITES, FUDGE SHOPPE, Mini Fudge Grahams Cookies",20.0,1.0 pouch,2.5 g,-- mg,4.5 g,34.8 g,17.9 g,73.2 g,467.0 kcal
"KEEBLER, 100 Calorie RIGHT BITES, FUDGE SHOPPE, Mini Fudge Stripes Cookies",21.0,1.0 pouch,2.0 g,-- mg,4.0 g,39.2 g,17.8 g,74.3 g,470.0 kcal
"KEEBLER, 100 Calorie RIGHT BITES, FUDGE SHOPPE, Mini Mints Grasshopper Cookies",21.0,1.0 pouch,2.5 g,-- mg,5.2 g,34.5 g,15.4 g,75.0 g,456.0 kcal
"KEEBLER, 100 Calorie RIGHT BITES, Sandies Shortbread Cookies",21.0,1.0 pouch,2.75 g,-- mg,5.2 g,25.8 g,17.2 g,73.9 g,468.0 kcal
"KEEBLER, 100 Calorie RIGHT BITES, Sandies Shortbread Cookies, Fudge Dipped",21.0,1.0 package,2.5 g,-- mg,4.1 g,27.0 g,20.1 g,72.4 g,462.0 kcal
"KEEBLER, 100 Calorie RIGHT BITES, White Fudge Dipped Pretzels",21.0,1.0 pouch,2.4 g,112.0 mg,7.0 g,31.7 g,20.0 g,68.8 g,483.0 kcal
"KEEBLER, Almond Crescents Cookies, Holiday",28.0,4.0 cookies,3.0 g,-- mg,5.1 g,26.0 g,20.5 g,70.1 g,482.0 kcal
"KEEBLER, ANIMALS, Cookies",40.0,1.0 package 1 serving,2.8 g,375.0 mg,5.6 g,25.4 g,14.2 g,75.3 g,450.0 kcal
"KEEBLER, ANIMALS, Crackers",29.0,8.0 crackers 1 serving,2.8 g,345.0 mg,5.6 g,25.4 g,14.2 g,75.3 g,450.0 kcal
"KEEBLER, ANIMALS, Frosted Cookies",31.0,8.0 cookies 1 serving,2.0 g,-- mg,3.0 g,41.1 g,24.1 g,70.0 g,506.0 kcal
"KEEBLER, ANIMALS, Iced Cookies",30.0,6.0 cookies 1 serving,3.75 g,-- mg,5.6 g,26.7 g,15.6 g,74.2 g,459.0 kcal
"KEEBLER, BAKER'S TREASURES, Chocolate Chip Cookie, soft",32.0,2.0 cookies,8.5 g,-- mg,5.3 g,36.2 g,16.0 g,69.9 g,437.0 kcal
"KEEBLER, BAKER'S TREASURES, Oatmeal Raisin Cookie, soft",32.0,2.0 cookies,9.5 g,-- mg,6.1 g,32.3 g,14.4 g,69.1 g,420.0 kcal
"KEEBLER, Cheese &amp; Cheddar Sandwich Crackers",39.0,1.0 package,2.7 g,159.0 mg,8.1 g,13.4 g,25.9 g,59.5 g,502.0 kcal
"KEEBLER, Cheese &amp; Peanut Butter Sandwich Crackers",39.0,1.0 package,2.0 g,50.0 mg,10.8 g,9.0 g,24.5 g,59.0 g,492.0 kcal
"KEEBLER, Cheese on Wheat Sandwich Crackers",39.0,1.0 package,2.7 g,151.0 mg,8.4 g,14.2 g,25.4 g,59.8 g,499.0 kcal
"KEEBLER, CHIPS DELUXE, Chocolate Lovers Cookies",32.0,2.0 cookies,3.0 g,-- mg,5.5 g,34.0 g,27.2 g,63.0 g,508.0 kcal
"KEEBLER, CHIPS DELUXE, Chocolate Malt Chunk Cookies",31.0,2.0 cookies,2.7 g,-- mg,4.7 g,31.6 g,30.4 g,61.8 g,537.0 kcal
"KEEBLER, CHIPS DELUXE, Coconut Cookies",30.0,2.0 cookies,2.5 g,-- mg,5.7 g,28.4 g,29.3 g,61.5 g,530.0 kcal
"KEEBLER, CHIPS DELUXE, Dark Chocolate Chunk Cookies",32.0,2.0 cookies,2.8 g,-- mg,4.3 g,31.2 g,27.5 g,64.0 g,518.0 kcal
"KEEBLER, CHIPS DELUXE, Mini Chocolate Chip Cookies",34.0,1.0 pouch,2.7 g,-- mg,5.2 g,31.0 g,23.1 g,68.0 g,498.0 kcal
"KEEBLER, CHIPS DELUXE, Oatmeal Chocolate Chip Cookies",31.0,2.0 cookies,3.0 g,-- mg,6.4 g,32.3 g,24.1 g,65.3 g,500.0 kcal
"KEEBLER, CHIPS DELUXE, Original Chocolate Chip Cookies",30.0,2.0 cookies,2.8 g,-- mg,5.5 g,30.1 g,28.3 g,62.7 g,517.0 kcal
"KEEBLER, CHIPS DELUXE, Peanut Butter Cups Cookies",32.0,2.0 cookies,3.0 g,-- mg,6.0 g,30.2 g,28.9 g,60.8 g,519.0 kcal
"KEEBLER, CHIPS DELUXE, Rainbow Chocolate Chip Cookies",31.0,2.0 cookies,2.5 g,-- mg,5.1 g,33.5 g,25.5 g,65.0 g,502.0 kcal
"KEEBLER, CHIPS DELUXE, Rainbow Chocolate Chip Cookies, bite size",28.0,5.0 cookies 1 serving,2.35 g,-- mg,4.75 g,35.3 g,23.9 g,68.55 g,505.0 kcal
"KEEBLER, CHIPS DELUXE, Soft 'n Chewy Chocolate Chip Cookies",31.0,2.0 cookies,6.0 g,-- mg,4.2 g,29.9 g,20.7 g,67.4 g,464.0 kcal
"KEEBLER, Cinnamon Toast Grahams",37.0,1.0 package,3.5 g,300.0 mg,7.3 g,26.0 g,13.2 g,73.9 g,429.0 kcal
"KEEBLER, Club &amp; Cheddar Sandwich Crackers",39.0,1.0 package,2.7 g,155.0 mg,8.4 g,14.1 g,24.0 g,61.3 g,494.0 kcal
"KEEBLER, CLUB Crackers, Snack Sticks, Honey Wheat",29.0,12.0 crackers,2.2 g,-- mg,6.5 g,14.0 g,21.3 g,66.0 g,471.0 kcal
"KEEBLER, CLUB Crackers, Snack Sticks, Original",29.0,12.0 crackers,2.2 g,-- mg,6.0 g,9.5 g,22.2 g,65.0 g,475.0 kcal
"KEEBLER, CLUB, Dash of Salt Crackers",14.0,4.0 crackers,2.5 g,-- mg,6.8 g,7.3 g,22.4 g,66.3 g,490.0 kcal
"KEEBLER, CLUB, Minis Multigrain Crackers",15.0,17.0 crackers,2.0 g,-- mg,7.3 g,10.7 g,19.8 g,67.4 g,470.0 kcal
"KEEBLER, CLUB, Minis Original Crackers",15.0,17.0 crackers,2.5 g,-- mg,6.0 g,8.0 g,21.2 g,66.4 g,479.0 kcal
"KEEBLER, CLUB, Multigrain Crackers",14.0,4.0 crackers,2.5 g,-- mg,7.1 g,12.0 g,20.4 g,65.9 g,466.0 kcal
"KEEBLER, CLUB, Original Crackers",14.0,4.0 crackers,2.0 g,-- mg,5.5 g,8.9 g,22.1 g,66.2 g,486.0 kcal
"KEEBLER, CLUB, Reduced Fat Crackers",16.0,5.0 crackers,2.0 g,-- mg,6.1 g,10.1 g,13.9 g,73.1 g,441.0 kcal
"KEEBLER, Country Style Oatmeal Cookies with Raisins",28.0,2.0 cookies,4.0 g,-- mg,6.5 g,29.9 g,21.3 g,67.0 g,482.0 kcal
"KEEBLER, Danish Wedding Cookies",26.0,4.0 cookies,4.0 g,-- mg,3.9 g,37.9 g,24.1 g,68.3 g,504.0 kcal
"KEEBLER, E.L. FUDGE, Butter Flavored Cookies",36.0,2.0 cookies,2.5 g,-- mg,5.5 g,33.9 g,20.5 g,70.0 g,482.0 kcal
"KEEBLER, E.L. FUDGE, Double Stuffed Cookies",35.0,2.0 cookies,2.0 g,-- mg,4.6 g,38.5 g,24.8 g,67.6 g,512.0 kcal
"KEEBLER, FUDGE SHOPPE, Caramel Filled Cookies",30.0,2.0 cookies,3.5 g,-- mg,2.9 g,42.0 g,25.4 g,66.7 g,506.0 kcal
"KEEBLER, FUDGE SHOPPE, Cheesecake Middles, Dark Chocolate",26.0,3.0 cookies,2.0 g,-- mg,4.4 g,33.7 g,26.5 g,64.7 g,506.0 kcal
"KEEBLER, FUDGE SHOPPE, Cheesecake Middles, Original Graham Cookies",26.0,3.0 cookies,2.0 g,-- mg,4.2 g,33.2 g,26.2 g,65.5 g,507.0 kcal
"KEEBLER, FUDGE SHOPPE, Coconut Dreams Cookies",28.0,2.0 cookies,6.0 g,-- mg,3.5 g,34.5 g,28.0 g,61.4 g,499.0 kcal
"KEEBLER, FUDGE SHOPPE, Deluxe Grahams Cookies",27.0,3.0 pieces,2.0 g,-- mg,4.0 g,37.3 g,25.8 g,66.6 g,511.0 kcal
"KEEBLER, FUDGE SHOPPE, Fudge Grahams, 1/2 Dipped, Reduced Fat",27.0,4.0 cookies,2.5 g,-- mg,5.6 g,34.1 g,17.0 g,73.7 g,470.0 kcal
"KEEBLER, FUDGE SHOPPE, Fudge Sticks",29.0,3.0 cookies,1.0 g,-- mg,2.6 g,53.0 g,27.1 g,68.8 g,529.0 kcal
"KEEBLER, FUDGE SHOPPE, Fudge Sticks, Peanut Butter",29.0,3.0 cookies,1.0 g,-- mg,6.8 g,41.4 g,31.4 g,60.0 g,544.0 kcal
"KEEBLER, FUDGE SHOPPE, Fudge Stripes, Dark Chocolate",31.0,3.0 cookies,1.77 g,-- mg,4.3 g,39.9 g,21.5 g,70.1 g,487.0 kcal
"KEEBLER, FUDGE SHOPPE, Fudge Stripes, Holiday/Spiderman",31.0,3.0 cookies,2.0 g,-- mg,4.1 g,33.8 g,23.6 g,68.8 g,498.0 kcal
"KEEBLER, FUDGE SHOPPE, Fudge Stripes, Mini",40.0,1.0 package,2.0 g,-- mg,4.2 g,31.8 g,23.1 g,68.7 g,497.0 kcal
"KEEBLER, FUDGE SHOPPE, Fudge Stripes, Oatmeal",31.0,3.0 cookies,1.9 g,-- mg,5.5 g,33.1 g,23.8 g,66.4 g,478.0 kcal
"KEEBLER, FUDGE SHOPPE, Fudge Stripes, Original",31.0,3.0 cookies,2.0 g,-- mg,4.1 g,33.8 g,23.5 g,68.6 g,500.0 kcal
"KEEBLER, FUDGE SHOPPE, Fudge-Dipped Ice Cream Cups",8.0,1.0 cup,1.0 g,-- mg,6.0 g,25.7 g,18.8 g,73.1 g,485.0 kcal
"KEEBLER, FUDGE SHOPPE, Grasshopper Cookies, Fudge Mint",29.0,4.0 cookies,2.0 g,-- mg,4.0 g,39.7 g,23.7 g,68.3 g,499.0 kcal
"KEEBLER, FUDGE SHOPPE, Jumbo Fudge Sticks, Peanut Butter",31.0,1.0 cookie,1.0 g,-- mg,7.1 g,40.8 g,30.2 g,60.6 g,537.0 kcal
"KEEBLER, FUDGE SHOPPE, Jumbo Fudge Sticks, Vanilla",31.0,1.0 cookie,1.0 g,-- mg,2.4 g,51.2 g,27.3 g,68.6 g,530.0 kcal
"KEEBLER, FUDGE SHOPPE, Magic Middles Fudge Filled Cookies, Original",30.0,2.0 cookies,3.8 g,-- mg,5.0 g,33.0 g,28.2 g,62.5 g,521.0 kcal
"KEEBLER, FUDGE SHOPPE, Magic Middles Fudge Filled Cookies, Peanut Butter",30.0,2.0 cookies,3.8 g,-- mg,6.9 g,34.5 g,28.4 g,59.2 g,514.0 kcal
"KEEBLER, FUDGE SHOPPE, Merry Mint Patties, Holiday",26.0,2.0 cookies,1.0 g,-- mg,2.9 g,44.3 g,27.7 g,66.7 g,528.0 kcal
"KEEBLER, FUDGE SHOPPE, Mint Creme Middles, Chocolate Graham Cookies",26.0,3.0 cookies,1.4 g,-- mg,4.3 g,38.9 g,27.2 g,65.4 g,516.0 kcal
"KEEBLER, FUDGE SHOPPE, Peanut Creme Filled Cookies",30.0,2.0 cookies,2.0 g,-- mg,7.2 g,30.3 g,31.1 g,57.6 g,537.0 kcal
"KEEBLER, FUDGE SHOPPE, Triple Fudge Filled Cookies",31.0,2.0 cookies,1.2 g,-- mg,3.6 g,42.7 g,29.4 g,64.2 g,533.0 kcal
"KEEBLER, Gingerbread Men Cookies, Holiday",33.0,5.0 cookies,3.5 g,-- mg,4.9 g,32.9 g,12.8 g,77.9 g,444.0 kcal
"KEEBLER, Grahams, Cinnamon Crisp",30.0,8.0 crackers,2.5 g,381.0 mg,5.9 g,26.9 g,12.2 g,76.3 g,430.0 kcal
"KEEBLER, GRIPZ, CHIPS DELUXE, Chocolate Chip Cookies, bite-size",25.0,1.0 pouch,2.7 g,-- mg,5.3 g,31.4 g,19.3 g,71.3 g,473.0 kcal
"KEEBLER, GRIPZ, CHIPS DELUXE, Rainbow Chocolate Chip Cookies, bite-size",25.0,1.0 pouch,2.7 g,-- mg,4.7 g,33.5 g,17.7 g,74.3 g,470.0 kcal
"KEEBLER, GRIPZ, Chocolate Chip Grahams, bite-size",25.0,1.0 pouch,2.5 g,400.0 mg,7.4 g,22.8 g,12.9 g,75.6 g,433.0 kcal
"KEEBLER, GRIPZ, Cinnamon Grahams, bite-size",25.0,1.0 pouch,2.5 g,400.0 mg,7.4 g,20.5 g,12.9 g,75.6 g,415.0 kcal
"KEEBLER, Holiday Jingles Cookies",29.0,6.0 cookies,3.0 g,-- mg,5.0 g,28.2 g,17.4 g,73.9 g,470.0 kcal
"KEEBLER, Iced Oatmeal Cookies",29.0,2.0 cookies,4.5 g,-- mg,6.5 g,35.6 g,18.3 g,69.5 g,467.0 kcal
"KEEBLER, KEEBLER Chocolate Graham SELECTS",31.0,1.0 serving,3.1 g,-- mg,7.1 g,26.5 g,16.6 g,71.8 g,465.0 kcal
"KEEBLER, Oatmeal Cookies",29.0,2.0 cookies,4.0 g,-- mg,7.1 g,30.9 g,20.1 g,67.7 g,478.0 kcal
"KEEBLER, READY CRUST, Chocolate Pie Crust",21.0,"0.125 crust 1 serving (from 9"" shell)",3.0 g,-- mg,5.1 g,28.7 g,22.05 g,67.7 g,490.0 kcal
"KEEBLER, READY CRUST, Graham Pie Crust (10""), Reduced Fat",21.0,0.125 crust,2.2 g,-- mg,4.9 g,29.7 g,17.5 g,73.5 g,472.0 kcal
"KEEBLER, READY CRUST, Shortbread Pie Crust",21.0,"0.125 crust 9"" crust",2.0 g,-- mg,4.4 g,26.6 g,23.1 g,69.1 g,502.0 kcal
"KEEBLER, SANDIES, Cashew Shortbread Cookies",30.0,2.0 cookies,3.0 g,-- mg,6.3 g,23.2 g,30.6 g,59.3 g,535.0 kcal
"KEEBLER, SANDIES, Chocolate Chip &amp; Pecan Shortbread Cookies",31.0,2.0 cookies,2.5 g,-- mg,5.6 g,26.5 g,32.1 g,59.2 g,546.0 kcal
"KEEBLER, SANDIES, Dark Chocolate Almond Shortbread Cookies",30.0,2.0 cookies,2.5 g,-- mg,6.1 g,26.5 g,31.0 g,59.9 g,540.0 kcal
"KEEBLER, SANDIES, Pecan Shortbread Cookies",31.0,2.0 cookies,3.0 g,-- mg,5.0 g,22.5 g,31.7 g,59.0 g,541.0 kcal
"KEEBLER, SANDIES, Pecan Shortbread Cookies, bite size",28.0,5.0 cookies 28 g package,2.8 g,-- mg,5.0 g,22.5 g,32.6 g,58.7 g,547.0 kcal
"KEEBLER, SANDIES, Pecan Shortbread Cookies, Reduced Fat",31.0,2.0 cookies,3.9 g,-- mg,6.7 g,23.9 g,21.8 g,67.1 g,488.0 kcal
"KEEBLER, SANDIES, Simply Shortbread Cookies",31.0,2.0 cookies,3.0 g,-- mg,6.0 g,22.6 g,28.8 g,62.2 g,528.0 kcal
"KEEBLER, SOFT BATCH, Chocolate Chip Cookies",32.0,2.0 cookies,6.0 g,-- mg,3.6 g,36.9 g,22.1 g,66.2 g,477.0 kcal
"KEEBLER, Sugar Cones",13.0,1.0 cone,1.0 g,-- mg,7.3 g,26.4 g,3.7 g,78.0 g,375.0 kcal
"KEEBLER, Sweet Cremes Cookies",38.0,2.0 cookies,2.4 g,-- mg,4.5 g,32.0 g,19.3 g,71.0 g,469.0 kcal
"KEEBLER, Toast &amp; Peanut Butter Sandwich Crackers",39.0,1.0 package,2.7 g,54.0 mg,10.6 g,11.6 g,23.8 g,60.2 g,489.0 kcal
"KEEBLER, Toasted Coconut Cookies",38.0,2.0 cookies,2.5 g,-- mg,3.8 g,41.2 g,20.2 g,69.9 g,475.0 kcal
"KEEBLER, TOASTEDS, Buttercrisps Crackers",16.0,5.0 crackers,2.5 g,-- mg,5.5 g,8.4 g,23.7 g,65.0 g,495.0 kcal
"KEEBLER, TOASTEDS, Onion Crackers",16.0,5.0 crackers,2.0 g,-- mg,5.7 g,9.7 g,20.6 g,67.7 g,479.0 kcal
"KEEBLER, TOASTEDS, Party Pack Cracker Assortment",16.0,5.0 crackers,2.5 g,-- mg,6.5 g,7.2 g,23.0 g,64.4 g,483.0 kcal
"KEEBLER, TOASTEDS, Sesame Crackers",16.0,5.0 crackers,2.0 g,-- mg,6.6 g,4.1 g,24.3 g,62.6 g,496.0 kcal
"KEEBLER, TOASTEDS, Wheat Crackers",16.0,5.0 crackers,3.0 g,-- mg,8.3 g,9.0 g,20.0 g,66.1 g,466.0 kcal
"KEEBLER, TOWN HOUSE, Bistro Multigrain Crackers",16.0,2.0 crackers,2.2 g,-- mg,7.3 g,8.6 g,19.5 g,67.0 g,460.0 kcal
"KEEBLER, TOWN HOUSE, FLATBREAD CRISPS, Sea Salt and Olive Oil Crackers",15.0,8.0 crackers,2.3 g,-- mg,8.0 g,5.2 g,14.0 g,72.8 g,443.0 kcal
"KEEBLER, TOWN HOUSE, FLIPSIDES, Pretzel Crackers, Cheese",15.0,5.0 crackers,2.4 g,-- mg,8.0 g,5.4 g,22.5 g,61.3 g,476.0 kcal
"KEEBLER, TOWN HOUSE, FLIPSIDES, Pretzel Crackers, Garlic Herb",15.0,5.0 crackers,2.3 g,-- mg,6.5 g,6.6 g,23.6 g,63.0 g,486.0 kcal
"KEEBLER, TOWN HOUSE, FLIPSIDES, Pretzel Crackers, Original",15.0,5.0 crackers,2.5 g,-- mg,6.6 g,6.8 g,23.1 g,64.3 g,487.0 kcal
"KEEBLER, TOWN HOUSE, FLIPSIDES, Pretzel Crackers, Reduced Fat",14.0,5.0 crackers,2.3 g,-- mg,7.2 g,7.5 g,16.0 g,70.4 g,450.0 kcal
"KEEBLER, TOWN HOUSE, Original Crackers",16.0,5.0 crackers,3.0 g,-- mg,5.1 g,6.5 g,29.6 g,59.8 g,526.0 kcal
"KEEBLER, TOWN HOUSE, Reduced Fat Crackers",15.0,6.0 crackers,2.65 g,-- mg,6.6 g,8.4 g,11.3 g,77.1 g,431.0 kcal
"KEEBLER, TOWN HOUSE, TOPPERS, Garlic Herb Crackers",14.0,3.0 crackers,1.9 g,-- mg,6.4 g,8.0 g,19.0 g,71.6 g,483.0 kcal
"KEEBLER, TOWN HOUSE, TOPPERS, Multigrain Crackers",14.0,3.0 crackers,2.5 g,-- mg,7.6 g,13.7 g,18.5 g,68.4 g,462.0 kcal
"KEEBLER, TOWN HOUSE, TOPPERS, Original Crackers",14.0,3.0 crackers,2.2 g,-- mg,7.6 g,8.0 g,20.5 g,66.8 g,483.0 kcal
"KEEBLER, TOWN HOUSE, Wheat Crackers",16.0,5.0 crackers,3.0 g,-- mg,6.3 g,3.1 g,24.4 g,63.2 g,489.0 kcal
"KEEBLER, TRADITIONS, Iced Lemonade Cookies",29.0,4.0 cookies,3.4 g,-- mg,4.5 g,29.9 g,24.4 g,66.3 g,502.0 kcal
"KEEBLER, TRADITIONS, Iced Oatmeal Cookies",32.0,4.0 cookies,3.5 g,-- mg,5.4 g,36.3 g,18.0 g,71.0 g,463.0 kcal
"KEEBLER, Vanilla Wafers",30.0,8.0 cookies,4.1 g,-- mg,4.0 g,31.6 g,17.4 g,73.1 g,462.0 kcal
